Epidemiological_Week,Age_Category,All_Causes_ED_Visits_to_Ottawa_Hospitals,Respiratory_related_ED_Visits_to_Ottawa_Hospitals,F__ED_Visits_Respiratory_related_in_Ottawa_Hospitals,ObjectId
2025/10/26,00 to 03 Years,511,237,46.4%,1
2025/10/26,04 to 11 Years,389,79,20.3%,2
2025/10/26,12 to 17 Years,443,26,5.9%,3
2025/10/26,18 to 54 Years,3121,172,5.5%,4
2025/10/26,55 to 79 Years,1888,150,7.9%,5
2025/10/26,80+ Years,765,65,8.5%,6
2025/11/02,00 to 03 Years,558,246,44.1%,7
2025/11/02,04 to 11 Years,456,123,27.0%,8
2025/11/02,12 to 17 Years,406,29,7.1%,9
2025/11/02,18 to 54 Years,3400,236,6.9%,10
2025/11/02,55 to 79 Years,1877,183,9.8%,11
2025/11/02,80+ Years,779,84,10.8%,12
2025/11/09,00 to 03 Years,539,243,45.1%,13
2025/11/09,04 to 11 Years,438,112,25.6%,14
2025/11/09,12 to 17 Years,386,36,9.3%,15
2025/11/09,18 to 54 Years,3143,248,7.9%,16
2025/11/09,55 to 79 Years,1877,187,10.0%,17
2025/11/09,80+ Years,710,76,10.7%,18
2025/11/16,00 to 03 Years,629,304,48.3%,19
2025/11/16,04 to 11 Years,472,155,32.8%,20
2025/11/16,12 to 17 Years,427,54,12.6%,21
2025/11/16,18 to 54 Years,3058,225,7.4%,22
2025/11/16,55 to 79 Years,1776,148,8.3%,23
2025/11/16,80+ Years,712,73,10.2%,24
2025/11/23,00 to 03 Years,666,355,53.3%,25
2025/11/23,04 to 11 Years,608,265,43.6%,26
2025/11/23,12 to 17 Years,506,97,19.2%,27
2025/11/23,18 to 54 Years,3276,306,9.3%,28
2025/11/23,55 to 79 Years,1844,161,8.7%,29
2025/11/23,80+ Years,796,79,9.9%,30
2025/11/30,00 to 03 Years,750,476,63.5%,31
2025/11/30,04 to 11 Years,678,343,50.6%,32
2025/11/30,12 to 17 Years,477,117,24.5%,33
2025/11/30,18 to 54 Years,3289,352,10.7%,34
2025/11/30,55 to 79 Years,1927,205,10.6%,35
2025/11/30,80+ Years,682,98,14.4%,36
2025/12/07,00 to 03 Years,856,576,67.3%,37
2025/12/07,04 to 11 Years,694,364,52.4%,38
2025/12/07,12 to 17 Years,416,98,23.6%,39
2025/12/07,18 to 54 Years,3282,437,13.3%,40
2025/12/07,55 to 79 Years,1879,245,13.0%,41
2025/12/07,80+ Years,723,120,16.6%,42
2025/12/14,00 to 03 Years,868,603,69.5%,43
2025/12/14,04 to 11 Years,585,320,54.7%,44
2025/12/14,12 to 17 Years,343,67,19.5%,45
2025/12/14,18 to 54 Years,3299,478,14.5%,46
2025/12/14,55 to 79 Years,1984,282,14.2%,47
2025/12/14,80+ Years,773,116,15.0%,48
2025/12/21,00 to 03 Years,788,486,61.7%,49
2025/12/21,04 to 11 Years,449,210,46.8%,50
2025/12/21,12 to 17 Years,236,41,17.4%,51
2025/12/21,18 to 54 Years,2933,371,12.6%,52
2025/12/21,55 to 79 Years,1955,306,15.6%,53
2025/12/21,80+ Years,755,125,16.6%,54
2025/12/28,00 to 03 Years,584,315,53.9%,55
2025/12/28,04 to 11 Years,333,97,29.1%,56
2025/12/28,12 to 17 Years,293,25,8.5%,57
2025/12/28,18 to 54 Years,3009,318,10.6%,58
2025/12/28,55 to 79 Years,2096,293,14.0%,59
2025/12/28,80+ Years,794,135,17.0%,60
2026/01/04,00 to 03 Years,471,209,44.4%,61
2026/01/04,04 to 11 Years,334,48,14.4%,62
2026/01/04,12 to 17 Years,381,17,4.5%,63
2026/01/04,18 to 54 Years,3133,292,9.3%,64
2026/01/04,55 to 79 Years,2103,231,11.0%,65
2026/01/04,80+ Years,781,98,12.6%,66
2026/01/11,00 to 03 Years,486,218,44.9%,67
2026/01/11,04 to 11 Years,361,58,16.1%,68
2026/01/11,12 to 17 Years,333,23,6.9%,69
2026/01/11,18 to 54 Years,3101,234,7.5%,70
2026/01/11,55 to 79 Years,1889,185,9.8%,71
2026/01/11,80+ Years,669,73,10.9%,72
2026/01/18,00 to 03 Years,496,206,41.5%,73
2026/01/18,04 to 11 Years,408,83,20.3%,74
2026/01/18,12 to 17 Years,333,28,8.4%,75
2026/01/18,18 to 54 Years,3052,226,7.4%,76
2026/01/18,55 to 79 Years,1719,138,8.0%,77
2026/01/18,80+ Years,685,62,9.0%,78
2026/01/25,00 to 03 Years,514,253,49.2%,79
2026/01/25,04 to 11 Years,377,87,23.1%,80
2026/01/25,12 to 17 Years,301,13,4.3%,81
2026/01/25,18 to 54 Years,2881,211,7.3%,82
2025/08/24,00 to 03 Years,431,154,35.7%,83
2026/01/25,55 to 79 Years,1729,182,10.5%,84
2026/01/25,80+ Years,687,92,13.4%,85
2026/02/01,00 to 03 Years,513,217,42.3%,86
2026/02/01,04 to 11 Years,401,69,17.2%,87
2026/02/01,12 to 17 Years,376,24,6.4%,88
2026/02/01,18 to 54 Years,3096,228,7.4%,89
2026/02/01,55 to 79 Years,1835,177,9.6%,90
2026/02/01,80+ Years,752,74,9.8%,91
2026/02/08,00 to 03 Years,513,226,44.0%,92
2026/02/08,04 to 11 Years,428,92,21.5%,93
2026/02/08,12 to 17 Years,381,21,5.5%,94
2026/02/08,18 to 54 Years,3084,203,6.6%,95
2026/02/08,55 to 79 Years,1729,186,10.8%,96
2026/02/08,80+ Years,661,67,10.1%,97
2026/02/15,00 to 03 Years,490,220,44.9%,98
2026/02/15,04 to 11 Years,435,83,19.1%,99
2026/02/15,12 to 17 Years,383,24,6.3%,100
2026/02/15,18 to 54 Years,2993,236,7.9%,101
2026/02/15,55 to 79 Years,1861,190,10.2%,102
2026/02/15,80+ Years,785,81,10.3%,103
2026/02/22,00 to 03 Years,505,204,40.4%,104
2026/02/22,04 to 11 Years,418,86,20.6%,105
2026/02/22,12 to 17 Years,457,33,7.2%,106
2026/02/22,18 to 54 Years,3043,209,6.9%,107
2026/02/22,55 to 79 Years,1791,189,10.5%,108
2026/02/22,80+ Years,728,69,9.5%,109
2025/08/24,04 to 11 Years,428,61,14.2%,110
2025/08/24,12 to 17 Years,329,24,7.3%,111
2025/08/24,18 to 54 Years,3358,198,5.9%,112
2025/08/24,55 to 79 Years,1990,149,7.5%,113
2025/08/24,80+ Years,743,82,11.0%,114
2025/08/31,00 to 03 Years,457,147,32.2%,115
2025/08/31,04 to 11 Years,452,73,16.2%,116
2025/08/31,12 to 17 Years,409,24,5.9%,117
2025/08/31,18 to 54 Years,3415,204,6.0%,118
2025/08/31,55 to 79 Years,1987,141,7.1%,119
2025/08/31,80+ Years,761,84,11.0%,120
2025/09/07,00 to 03 Years,437,157,35.9%,121
2025/09/07,04 to 11 Years,545,119,21.8%,122
2025/09/07,12 to 17 Years,532,46,8.6%,123
2025/09/07,18 to 54 Years,3194,195,6.1%,124
2025/09/07,55 to 79 Years,2103,150,7.1%,125
2025/09/07,80+ Years,712,60,8.4%,126
2025/09/14,00 to 03 Years,485,206,42.5%,127
2025/09/14,04 to 11 Years,538,127,23.6%,128
2025/09/14,12 to 17 Years,480,34,7.1%,129
2025/09/14,18 to 54 Years,3219,224,7.0%,130
2025/09/14,55 to 79 Years,1951,144,7.4%,131
2025/09/14,80+ Years,772,80,10.4%,132
2025/09/21,00 to 03 Years,512,214,41.8%,133
2025/09/21,04 to 11 Years,519,128,24.7%,134
2025/09/21,12 to 17 Years,498,42,8.4%,135
2025/09/21,18 to 54 Years,3355,235,7.0%,136
2025/09/21,55 to 79 Years,1909,143,7.5%,137
2025/09/21,80+ Years,729,71,9.7%,138
2025/09/28,00 to 03 Years,522,225,43.1%,139
2025/09/28,04 to 11 Years,518,107,20.7%,140
2025/09/28,12 to 17 Years,477,37,7.8%,141
2025/09/28,18 to 54 Years,3492,253,7.2%,142
2025/09/28,55 to 79 Years,1905,152,8.0%,143
2025/09/28,80+ Years,744,74,10.0%,144
2025/10/05,00 to 03 Years,494,207,41.9%,145
2025/10/05,04 to 11 Years,506,109,21.5%,146
2025/10/05,12 to 17 Years,451,29,6.4%,147
2025/10/05,18 to 54 Years,3334,220,6.6%,148
2025/10/05,55 to 79 Years,1939,159,8.2%,149
2025/10/05,80+ Years,710,67,9.4%,150
2025/10/12,00 to 03 Years,546,249,45.6%,151
2025/10/12,04 to 11 Years,450,84,18.7%,152
2025/10/12,12 to 17 Years,371,19,5.1%,153
2025/10/12,18 to 54 Years,3231,227,7.0%,154
2025/10/12,55 to 79 Years,1966,163,8.3%,155
2025/10/12,80+ Years,715,62,8.7%,156
2025/10/19,00 to 03 Years,519,237,45.7%,157
2025/10/19,04 to 11 Years,432,85,19.7%,158
2025/10/19,12 to 17 Years,504,35,6.9%,159
2025/10/19,18 to 54 Years,3410,216,6.3%,160
2025/10/19,55 to 79 Years,1851,177,9.6%,161
2025/10/19,80+ Years,806,71,8.8%,162
